ID,Discipline,Subdiscipline,Name,Formula,Role,Domain,Description,Derivation,Working Example,Negation/Failure,Source,Status,Assumptions
EQ-0027,Physics,Thermodynamics & Statistical Mechanics,Maxwell–Boltzmann Speed Distribution,f(v) = 4πn(m/2πk_BT)^(3/2) v² e^(−mv²/2k_BT),Statistical model,"The probability distribution of molecular speeds in an ideal gas at thermal equilibrium. It predicts that most molecules move near the most probable speed, with a long tail of high-speed molecules.","The probability distribution of molecular speeds in an ideal gas at thermal equilibrium. It predicts that most molecules move near the most probable speed, with a long tail of high-speed molecules. It is fundamental to understanding gas properties, reaction rates, and effusion.","Maxwell assumed the velocity components v_x, v_y, v_z are independent and identically distributed. From the Boltzmann factor, the probability of a molecule having velocity v is proportional to e^(−mv²/2k_BT). In 3D, P(v_x,v_y,v_z) ∝ e^(−m(v_x²+v_y²+v_z²)/2k_BT). Converting to speed v = |v| with spherical coordinates introduces the factor 4πv² (the surface area of the speed shell). Normalizing gives f(v) = 4πn(m/2πk_BT)^(3/2) v² e^(−mv²/2k_BT).","N₂ molecules (m = 28 u = 4.65×10⁻²⁶ kg) at T = 300 K. Most probable speed: v_p = √(2k_BT/m) = √(2×1.38×10⁻²³×300 / 4.65×10⁻²⁶) = √(178,065) = 422 m/s. Mean speed: <v> = v_p×√(4/π) = 476 m/s. RMS speed: v_rms = v_p×√(3/2) = 517 m/s.","The distribution fails for: (1) Quantum gases at low temperature — bosons follow Bose–Einstein statistics (leading to BEC below T_c), and fermions follow Fermi–Dirac statistics (electrons in a metal have speeds near the Fermi velocity even at T = 0). (2) Non-equilibrium systems — a gas immediately after a shock wave has a bimodal or non-thermal speed distribution until collisions restore equilibrium. (3) Relativistic particles — the Maxwell–Jüttner distribution replaces e^(−mv²/2k_BT) with a relativistic energy term.","Maxwell, Phil. Mag. (1860)",consensus,System at or near equilibrium; Idealized conditions; See negation section for detailed failure modes
EQ-0028,Physics,Thermodynamics & Statistical Mechanics,Gibbs Free Energy,G = H − TS,Optimization / variational principle,The Gibbs free energy is the thermodynamic potential that determines whether a process is spontaneous at constant temperature and pressure. A reaction proceeds spontaneously if ΔG < 0.,"The Gibbs free energy is the thermodynamic potential that determines whether a process is spontaneous at constant temperature and pressure. A reaction proceeds spontaneously if ΔG < 0. At equilibrium, ΔG = 0. It combines enthalpic and entropic contributions to predict the direction of chemical and physical processes.","Start from the First Law: dU = TdS − PdV (for reversible processes). Define enthalpy H = U + PV, so dH = TdS + VdP. Define Gibbs energy G = H − TS, so dG = dH − TdS − SdT = VdP − SdT. At constant T and P: dG = 0 at equilibrium. For a spontaneous process at constant T, P: from the Second Law (dS_universe ≥ 0), one can show dG ≤ 0. The change in G equals the maximum non-PV work obtainable from the process.","Water freezing at −10°C (263 K): ΔH_fus = −6.01 kJ/mol, ΔS_fus = −6.01×10³/273 = −22.0 J/(mol·K). At 263 K: ΔG = ΔH − TΔS = −6010 − (263)(−22.0) = −6010 + 5789 = −221 J/mol < 0. Freezing is spontaneous at −10°C.",At +10°C (283 K): ΔG = −6010 − (283)(−22.0) = −6010 + 6227 = +217 J/mol > 0. Freezing is non-spontaneous at +10°C — ice melts instead. This demonstrates that the sign of ΔG depends critically on temperature and reverses at the equilibrium melting point (0°C where ΔG = 0). The equation breaks down in non-equilibrium thermodynamics where local temperature and pressure are not well-defined.,"Gibbs, Trans. Conn. Acad. (1876)",consensus,non-equilibrium thermodynamics where local temperature and pressure are not well-defined.
EQ-0029,Physics,Thermodynamics & Statistical Mechanics,Clausius–Clapeyron Equation,dP/dT = ΔH_vap / (TΔV),Deterministic dynamical system,"Relates the slope of a phase boundary in the P–T diagram to the latent heat of the transition and the volume change. It predicts how boiling/melting points change with pressure and is essential for understanding phase diagrams, weather systems, and industrial processes.","Relates the slope of a phase boundary in the P–T diagram to the latent heat of the transition and the volume change. It predicts how boiling/melting points change with pressure and is essential for understanding phase diagrams, weather systems, and industrial processes.","At a phase boundary, the two phases are in equilibrium: G_1 = G_2. Moving along the boundary: dG_1 = dG_2. Using dG = VdP − SdT for each phase: V_1 dP − S_1 dT = V_2 dP − S_2 dT. Rearranging: (V_2 − V_1)dP = (S_2 − S_1)dT, so dP/dT = ΔS/ΔV. Since ΔS = ΔH/T at the transition, dP/dT = ΔH/(TΔV).","Boiling point of water at altitude: ΔH_vap = 40,700 J/mol, T = 373 K, ΔV ≈ V_gas = RT/P = (8.314)(373)/101325 = 0.0306 m³/mol. dP/dT = 40700/((373)(0.0306)) = 3567 Pa/K. At Denver (P = 83,000 Pa), the pressure drop is 18,325 Pa, so ΔT ≈ −18325/3567 = −5.1 K. Boiling point ≈ 95°C.","The simplified form assumes ΔV ≈ V_gas = RT/P and that ΔH is constant. Near the critical point (T_c = 647 K for water), both assumptions fail: ΔV → 0 and ΔH → 0, so dP/dT becomes indeterminate (0/0). The phase boundary terminates at the critical point, and there is no longer a distinct liquid–gas transition.",Clausius (1850); Clapeyron (1834),consensus,See negation section for detailed failure modes
EQ-0030,Physics,Quantum Mechanics,Schrödinger Equation (Time-Dependent),iħ ∂ψ/∂t = Ĥψ,Deterministic dynamical system,"The fundamental equation governing the time evolution of quantum states. Given the initial wave function ψ(x,0), it determines ψ(x,t) at all future times.","The fundamental equation governing the time evolution of quantum states. Given the initial wave function ψ(x,0), it determines ψ(x,t) at all future times. It plays the same role in quantum mechanics that Newton's Second Law plays in classical mechanics, but describes probability amplitudes rather than trajectories.","Schrödinger was guided by the de Broglie hypothesis (λ = h/p) and the classical wave equation. For a free particle with E = p²/2m and the plane wave ψ = e^(i(kx−ωt)), we need E = ħω and p = ħk. Time derivative: iħ∂ψ/∂t = Eψ. Space derivative: −ħ²∂²ψ/∂x² = p²ψ. Since E = p²/2m: iħ∂ψ/∂t = (−ħ²/2m)∂²ψ/∂x². Adding a potential V(x): iħ∂ψ/∂t = [−ħ²/(2m)∇² + V]ψ = Ĥψ.","Particle in a 1D box (width L = 1 nm, electron mass). Energy levels: E_n = n²π²ħ²/(2mL²). For n = 1: E_1 = π²(1.055×10⁻³⁴)²/(2×9.109×10⁻³¹×10⁻¹⁸) = 6.024×10⁻²⁰ J = 0.376 eV. For n = 2: E_2 = 4E_1 = 1.504 eV. The emitted photon wavelength for n=2→1: λ = hc/ΔE = 1100 nm (near-infrared).","The Schrödinger equation fails when: (1) Relativistic effects are important — for electrons in heavy atoms (Z > 50), speeds approach c and one must use the Dirac equation. Gold's color (absorption at ~2.4 eV) is a relativistic effect absent from non-relativistic QM. (2) Particle creation/annihilation occurs — the Schrödinger equation conserves particle number, so it cannot describe pair production or radioactive decay. Quantum field theory is required.","Schrödinger, Ann. Phys. (1926)",consensus,"(1) Relativistic effects are important — for electrons in heavy atoms (Z > 50), speeds approach c and one must use the Dirac equation."
EQ-0031,Physics,Quantum Mechanics,Heisenberg Uncertainty Principle,Δx Δp ≥ ħ/2,Optimization / variational principle,It is impossible to simultaneously know both the exact position and exact momentum of a particle. This is not a limitation of measurement technology but a fundamental property of quantum mechanics arising from the wave nature of matter.,It is impossible to simultaneously know both the exact position and exact momentum of a particle. This is not a limitation of measurement technology but a fundamental property of quantum mechanics arising from the wave nature of matter. It sets ultimate limits on the precision of all physical measurements.,"For any quantum state ψ, define Δx = √(<x²> − <x>²) and Δp = √(<p²> − <p>²). Using the Cauchy–Schwarz inequality: |∫ f*g dx|² ≤ (∫|f|² dx)(∫|g|² dx), with f = (x̂ − <x>)ψ and g = (p̂ − <p>)ψ. Since [x̂, p̂] = iħ, one derives (Δx)²(Δp)² ≥ |½<[x̂, p̂]>|² = ħ²/4. Therefore ΔxΔp ≥ ħ/2. The minimum uncertainty is achieved by Gaussian wave packets.",An electron confined to Δx = 1 Å = 10⁻¹⁰ m (atomic size). Minimum momentum uncertainty: Δp = ħ/(2Δx) = (1.055×10⁻³⁴)/(2×10⁻¹⁰) = 5.27×10⁻²⁵ kg·m/s. Minimum kinetic energy: E = (Δp)²/(2m) = (5.27×10⁻²⁵)²/(2×9.109×10⁻³¹) = 1.52×10⁻¹⁸ J = 0.095 eV. This is the zero-point energy that prevents electron collapse into the nucleus.,"Common misunderstandings that fail: (1) Claiming that precise measurement of x 'disturbs' p (the 'observer effect' interpretation) — while historically used by Heisenberg, the principle is deeper: the particle simply does not have a definite position AND momentum simultaneously. (2) Attempting to violate the principle using entangled particles — EPR's 1935 argument suggested measuring x on particle 1 and p on particle 2 gives both. But the measured values are for different particles, and the correlations cannot be used to violate the principle for a single particle.","Heisenberg, Z. Phys. (1927)",consensus,See negation section for detailed failure modes
EQ-0032,Physics,Quantum Mechanics,De Broglie Relation,λ = h/p,Deterministic dynamical system,"Every particle has an associated wavelength inversely proportional to its momentum. This wave–particle duality is the conceptual foundation of quantum mechanics, explaining electron diffraction, the structure of atoms, and the operation of electron microscopes.","Every particle has an associated wavelength inversely proportional to its momentum. This wave–particle duality is the conceptual foundation of quantum mechanics, explaining electron diffraction, the structure of atoms, and the operation of electron microscopes.","De Broglie reasoned by analogy with photons, for which E = hν and p = h/λ. He postulated that material particles also have wave properties with the same relation. This was confirmed by Davisson and Germer (1927), who observed electron diffraction from a nickel crystal with maxima at angles predicted by λ = h/p. The relation can be derived from the Schrödinger equation: a free-particle plane wave ψ = e^(ikx−iωt) has momentum eigenvalue p = ħk = h/λ.","An electron accelerated through V = 100 V acquires KE = eV = 1.6×10⁻¹⁷ J. Momentum: p = √(2mE) = √(2×9.109×10⁻³¹×1.6×10⁻¹⁷) = 5.40×10⁻²⁴ kg·m/s. Wavelength: λ = h/p = (6.626×10⁻³⁴)/(5.40×10⁻²⁴) = 1.23 × 10⁻¹⁰ m = 1.23 Å — comparable to atomic spacings, enabling electron diffraction imaging.","The simple formula fails when: (1) Relativistic momentum is needed — for an electron at 0.9c, γ = 2.29, so p = γmv = 2.29(9.109×10⁻³¹)(2.7×10⁸) = 5.63×10⁻²² kg·m/s, giving λ = 1.18×10⁻¹² m. Using p = mv (non-relativistic) would give λ = 2.69×10⁻¹² m, overestimating by 2.3×. (2) For massive macroscopic objects, the wavelength is immeasurably small — a 1 kg ball at 1 m/s has λ = 6.6×10⁻³⁴ m, far below any observable diffraction.","de Broglie, Ann. Phys. (1925)",consensus,(1) Relativistic momentum is needed — for an electron at 0.
EQ-0033,Physics,Quantum Mechanics,Born Rule,P(x) = |ψ(x)|²,Statistical model,"The probability density of finding a particle at position x is given by the squared modulus of its wave function. This statistical interpretation transforms the wave function from a physical wave into a probability amplitude, forming the interpretive foundation of quantum mechanics.","The probability density of finding a particle at position x is given by the squared modulus of its wave function. This statistical interpretation transforms the wave function from a physical wave into a probability amplitude, forming the interpretive foundation of quantum mechanics.","Born's Rule is a postulate of quantum mechanics rather than a derived result. However, Gleason's theorem (1957) shows that for Hilbert spaces of dimension ≥ 3, the only consistent probability assignment to measurement outcomes satisfying non-contextuality is P = |<ψ|φ>|², which reduces to |ψ(x)|² for position measurements. Additionally, Zurek (2005) showed the Born Rule can be derived from environment-assisted invariance (envariance) within decoherence theory.",Hydrogen atom ground state: ψ(r) = (1/√π)(1/a₀)^(3/2) e^(−r/a₀) where a₀ = 0.529 Å. Probability of finding the electron within 1 Bohr radius: P(r < a₀) = ∫₀^a₀ |ψ|² 4πr² dr = 4/a₀³ ∫₀^a₀ r² e^(−2r/a₀) dr = 1 − 5e⁻² ≈ 0.323 (32.3%). The most probable radius is r = a₀ (where r²|ψ|² peaks).,"If one incorrectly uses |ψ| instead of |ψ|² (or uses the real part Re(ψ)), the probabilities would not be normalized and could even be negative. For a state ψ = (1/√2)(|+> + i|->), the correct probabilities are P(+) = |½|² = 0.5, P(−) = |i/√2|² = 0.5. Using Re(ψ) would give P(+) = 1/√2, P(−) = 0, which violates both normalization and experimental results.","Born, Z. Phys. (1926)",consensus,See negation section for detailed failure modes
EQ-0034,Physics,Quantum Mechanics,Planck–Einstein Relation,E = hν = ħω,Optimization / variational principle,"The energy of a photon is directly proportional to its frequency. This was Planck's revolutionary hypothesis that energy is quantized in discrete packets (quanta), and Einstein extended it to explain the photoelectric effect.","The energy of a photon is directly proportional to its frequency. This was Planck's revolutionary hypothesis that energy is quantized in discrete packets (quanta), and Einstein extended it to explain the photoelectric effect. It is the founding equation of quantum physics.","Planck postulated this to resolve the ultraviolet catastrophe: cavity oscillators of frequency ν can only have energies E = nhν (n = 0,1,2,...). Einstein (1905) went further, proposing that light itself consists of quanta (photons) each carrying energy E = hν. Verification: photoelectric effect experiments show that the maximum kinetic energy of ejected electrons is K_max = hν − φ, with a sharp cutoff frequency ν_0 = φ/h below which no electrons are emitted regardless of intensity.","Green light (λ = 530 nm, ν = c/λ = 5.66×10¹⁴ Hz): E = hν = (6.626×10⁻³⁴)(5.66×10¹⁴) = 3.75×10⁻¹⁹ J = 2.34 eV. A 1 W green laser emits N = P/E = 1/(3.75×10⁻¹⁹) = 2.67×10¹⁸ photons/second.","Classical wave theory predicted that any frequency of light could eject electrons if the intensity was high enough (just wait for enough energy to accumulate). Experimentally, this is wrong: UV light (ν > ν_0) ejects electrons instantly even at low intensity, while intense red light (ν < ν_0) never does. Only E = hν with quantized photon energy explains the sharp frequency threshold.","Planck (1900); Einstein, Ann. Phys. (1905)",consensus,See negation section for detailed failure modes
EQ-0035,Physics,Quantum Mechanics,Canonical Commutation Relation,"[x̂, p̂] = iħ",Deterministic dynamical system,The position and momentum operators do not commute — measuring position then momentum gives a different result than measuring momentum then position. This non-commutativity is the mathematical origin of the Heisenberg uncertainty principle and distinguishes quantum mechanics from classical mechanics.,The position and momentum operators do not commute — measuring position then momentum gives a different result than measuring momentum then position. This non-commutativity is the mathematical origin of the Heisenberg uncertainty principle and distinguishes quantum mechanics from classical mechanics.,"In the position representation, x̂ψ = xψ and p̂ψ = −iħ dψ/dx. Act with [x̂, p̂] on an arbitrary ψ: x̂(p̂ψ) = x(−iħ dψ/dx) = −iħx(dψ/dx). p̂(x̂ψ) = −iħ d(xψ)/dx = −iħ(ψ + x dψ/dx). Subtracting: [x̂, p̂]ψ = −iħx(dψ/dx) − (−iħ)(ψ + x dψ/dx) = iħψ. Since this holds for all ψ: [x̂, p̂] = iħ.","For a Gaussian wave packet ψ(x) = (2πσ²)^(−1/4) e^(−x²/4σ²), compute <x̂ p̂> and <p̂ x̂>: <x̂ p̂> − <p̂ x̂> = iħ. For σ = 1 nm: Δx = σ = 10⁻⁹ m, Δp = ħ/(2σ) = 5.27×10⁻²⁶ kg·m/s. Product ΔxΔp = ħ/2, saturating the uncertainty bound (minimum uncertainty state).","If we incorrectly assumed [x̂, p̂] = 0 (classical limit), then simultaneous eigenstates of x and p would exist, and the uncertainty principle would be violated. In path integral terms, this would mean all particle paths would have the same phase, and quantum interference — the basis of all quantum phenomena from tunneling to superconductivity — would vanish.","Born & Jordan, Z. Phys. (1925)",consensus,Non-relativistic regime; See negation section for detailed failure modes
EQ-0036,Physics,Relativity & Cosmology,Mass–Energy Equivalence,E = mc²,Deterministic dynamical system,Energy and mass are interconvertible. A body at rest possesses energy equal to its mass times the speed of light squared.,Energy and mass are interconvertible. A body at rest possesses energy equal to its mass times the speed of light squared. This explains the enormous energy released in nuclear reactions and is the basis for nuclear power and weapons.,"Einstein considered a body emitting two light pulses of energy E/2 in opposite directions. In its rest frame, its energy decreases by E. In a moving frame (velocity v), the Doppler effect changes each pulse's energy. Comparing total energy in both frames, the kinetic energy difference is ΔKE = E/(1 − v²/c²)^(1/2) − E ≈ Ev²/(2c²) for v ≪ c. Since ΔKE = ½Δm v², we get Δm = E/c², or E = mc².","In U-235 fission, mass defect Δm = 0.186 u = 3.09×10⁻²  kg per nucleus. E = Δmc² = (3.09×10⁻² )(9×10¹⁶) = 2.78×10⁻¹¹ J = 174 MeV. 1 kg of U-235 (2.56×10²⁴ atoms): total E = 7.1×10¹³ J ≈ equivalent to 1700 tons of TNT.","If mass–energy equivalence did not hold, nuclear binding energies would not account for the observed mass of nuclei. The helium-4 nucleus would weigh 4.032 u (sum of parts) instead of the observed 4.0026 u. The 'missing' 0.030 u = 28 MeV of binding energy would have no explanation. Similarly, positron–electron annihilation producing 1.022 MeV of gamma rays would violate energy conservation without E = mc².","Einstein, Ann. Phys. (1905)",consensus,See negation section for detailed failure modes
EQ-0037,Physics,Relativity & Cosmology,Lorentz Factor,γ = 1/√(1 − v²/c²),Deterministic dynamical system,"The Lorentz factor quantifies the magnitude of time dilation, length contraction, and relativistic mass increase. At v = 0 it equals 1 (no relativistic effects); it diverges as v approaches c, making the speed of light an absolute speed limit for massive objects.","The Lorentz factor quantifies the magnitude of time dilation, length contraction, and relativistic mass increase. At v = 0 it equals 1 (no relativistic effects); it diverges as v approaches c, making the speed of light an absolute speed limit for massive objects.","Derived from Einstein's two postulates: (1) laws of physics are the same in all inertial frames, (2) the speed of light is constant. Consider a light clock (light bouncing between mirrors separated by distance d). In its rest frame, the tick time is Δt₀ = 2d/c. In a frame where the clock moves at velocity v, the light path is longer: 2√(d² + (vΔt/2)²) = cΔt. Solving: Δt = 2d/(c√(1−v²/c²)) = γΔt₀.","Muons produced in the upper atmosphere at v = 0.998c: γ = 1/√(1−0.996) = 1/√(0.004) = 15.8. Rest-frame half-life is 1.56 μs. In Earth's frame: τ = γτ₀ = 15.8 × 1.56 = 24.6 μs. In 24.6 μs at 0.998c, muons travel d = 0.998×3×10⁸×24.6×10⁻⁶ = 7.37 km — enough to reach the ground, as observed.","Without γ, muons with τ = 1.56 μs would travel only 0.998c × 1.56×10⁻⁶ = 467 m before half decay. From a production altitude of ~15 km, virtually none would reach the ground. Yet detectors observe significant muon flux at sea level — a direct confirmation of time dilation.",Lorentz (1904); Einstein (1905),consensus,See negation section for detailed failure modes
EQ-0038,Physics,Relativity & Cosmology,Einstein Field Equations,G_μν + Λg_μν = (8πG/c⁴)T_μν,Conservation law,"The fundamental equations of general relativity, relating the curvature of spacetime (left side) to the distribution of mass and energy (right side). They predict gravitational waves, black holes, the expansion of the universe, and gravitational lensing.","The fundamental equations of general relativity, relating the curvature of spacetime (left side) to the distribution of mass and energy (right side). They predict gravitational waves, black holes, the expansion of the universe, and gravitational lensing.","Einstein required: (1) equations reduce to Newton's gravity in the weak-field limit, (2) covariant under general coordinate transformations, (3) involve second derivatives of the metric g_μν. The most general second-order tensor satisfying the Bianchi identity ∇_μ G^μν = 0 is G_μν = R_μν − ½Rg_μν (the Einstein tensor, built from the Riemann curvature). Energy conservation ∇_μ T^μν = 0 matches. The coupling constant 8πG/c⁴ is fixed by the Newtonian limit.","Schwarzschild solution (spherically symmetric vacuum T_μν = 0): ds² = −(1−2GM/(rc²))c²dt² + dr²/(1−2GM/(rc²)) + r²dΩ². For the Sun: r_s = 2GM/c² = 2.95 km. Light bending angle: α = 4GM/(rc²) = 1.75 arcseconds at the solar limb, confirmed by Eddington (1919).","At quantum scales (Planck length l_P = 1.6×10⁻³⁵ m), the field equations predict singularities (infinite curvature) inside black holes and at the Big Bang. These singularities signal the breakdown of GR. A quantum theory of gravity (string theory, loop quantum gravity) is needed but remains unfinished. Additionally, the cosmological constant Λ predicted by quantum field theory exceeds the observed value by ~120 orders of magnitude (the cosmological constant problem).","Einstein, Ann. Phys. (1915)",consensus,See negation section for detailed failure modes
EQ-0039,Physics,Relativity & Cosmology,Friedmann Equation,(ȧ/a)² = (8πG/3)ρ − k/a² + Λ/3,Conservation law,"Governs the expansion rate of the universe. Derived from Einstein's field equations assuming a homogeneous, isotropic universe (the cosmological principle).","Governs the expansion rate of the universe. Derived from Einstein's field equations assuming a homogeneous, isotropic universe (the cosmological principle). It relates the Hubble parameter H = ȧ/a to the energy density, spatial curvature, and cosmological constant.","Start with the FRW metric: ds² = −c²dt² + a(t)²[dr²/(1−kr²) + r²dΩ²] and T_μν for a perfect fluid. The 00-component of Einstein's equations gives (ȧ/a)² = 8πGρ/3 − kc²/a² + Λc²/3. This can also be derived by Newtonian analogy: consider a shell of mass m at the edge of an expanding sphere, apply energy conservation E = ½mv² − GMm/r, and use v = Hr, M = (4/3)πr³ρ.","Current universe: H₀ = 67.4 km/s/Mpc = 2.18×10⁻¹⁸ s⁻¹. Critical density: ρ_c = 3H₀²/(8πG) = 8.53×10⁻²⁷ kg/m³. Observations: Ω_m = 0.315 (matter), Ω_Λ = 0.685 (dark energy), Ω_k ≈ 0 (flat). Age of universe: t₀ ≈ 1/H₀ × (correction factor) ≈ 13.8 Gyr.","The Friedmann equation assumes perfect homogeneity. In the real universe, inhomogeneities (voids, clusters) cause backreaction effects that may mimic dark energy at the ~1–5% level (Buchert et al., Gen. Relativ. Gravit., 2012). If Λ is set to zero and inhomogeneities are ignored, the predicted age of the universe (~9 Gyr for matter-dominated) contradicts the observed ages of the oldest stars (~12+ Gyr).","Friedmann, Z. Phys. (1922)",consensus,See negation section for detailed failure modes
EQ-0040,Physics,Relativity & Cosmology,Hubble's Law,v = H₀d,Empirical / phenomenological relation,"The recessional velocity of distant galaxies is proportional to their distance, with Hubble's constant as the proportionality factor. This was the observational discovery of the expanding universe and remains the foundation of observational cosmology.","The recessional velocity of distant galaxies is proportional to their distance, with Hubble's constant as the proportionality factor. This was the observational discovery of the expanding universe and remains the foundation of observational cosmology.","From the Friedmann–Lemaître–Robertson–Walker metric, the proper distance to a comoving galaxy is d(t) = a(t)r. Its velocity is v = ḋ = ȧ r = (ȧ/a)(ar) = Hd, where H = ȧ/a is the Hubble parameter. Hubble measured redshifts z = Δλ/λ of galaxies and their distances (via Cepheid variables), finding a linear relation v = cz ≈ H₀d for z ≪ 1.","A galaxy at d = 100 Mpc: v = H₀d = (70 km/s/Mpc)(100 Mpc) = 7,000 km/s. Its redshift: z = v/c = 7000/300000 = 0.023. Observed spectrum of hydrogen Lyman-α (λ₀ = 121.6 nm) shifts to λ = 121.6(1+0.023) = 124.4 nm.","Hubble's Law (v = H₀d) is only valid for 'nearby' galaxies (z < ~0.1). At cosmological distances, the linear relation breaks down. A galaxy at z = 2 has v_recession > c (superluminal), which is allowed in GR (space itself expands). Using v = H₀d would give d = v/H₀ = cz/H₀ = 8,571 Mpc, but the correct comoving distance is ~5,200 Mpc. The linear approximation overestimates by 65%.","Hubble, Proc. Natl. Acad. Sci. (1929)",consensus,See negation section for detailed failure modes
EQ-0041,Physics,Fluid Dynamics,Navier–Stokes Equations,ρ(Dv/Dt) = −∇P + μ∇²v + ρg,Constitutive relation,"The fundamental equations governing viscous fluid flow, expressing Newton's Second Law for a continuum. They describe everything from blood flow to weather patterns to aircraft aerodynamics.","The fundamental equations governing viscous fluid flow, expressing Newton's Second Law for a continuum. They describe everything from blood flow to weather patterns to aircraft aerodynamics. Proving whether smooth solutions always exist in 3D is one of the Clay Millennium Prize Problems.","Apply Newton's Second Law to a fluid element of volume dV: ρ dV (Dv/Dt) = sum of forces. Pressure force: −∇P dV. Viscous force: for a Newtonian fluid, stress tensor τ_ij = μ(∂v_i/∂x_j + ∂v_j/∂x_i), giving a net force μ∇²v dV (for incompressible flow). Gravity: ρg dV. Dividing by ρ dV: Dv/Dt = −∇P/ρ + ν∇²v + g, where ν = μ/ρ is kinematic viscosity.","Laminar flow in a pipe (Hagen–Poiseuille): for water (μ = 10⁻³ Pa·s) in a pipe of radius R = 0.01 m, length L = 1 m, with ΔP = 100 Pa: Q = πR⁴ΔP/(8μL) = π(10⁻⁸)(100)/(8×10⁻³) = 3.93×10⁻⁴ m³/s = 0.393 L/s. Max velocity (at center): v_max = 2Q/(πR²) = 2.50 m/s.","The Navier–Stokes equations become computationally intractable for turbulent flow (Re > ~4000). Direct numerical simulation (DNS) of turbulence at Re = 10⁶ would require ~10¹⁸ grid points — beyond any foreseeable computer. Engineers use Reynolds-averaged (RANS) or Large Eddy Simulation (LES) approximations, which introduce empirical turbulence models that can fail for separated flows, rotating systems, or strong pressure gradients.",Navier (1822); Stokes (1845),consensus,See negation section for detailed failure modes
EQ-0042,Physics,Fluid Dynamics,Bernoulli's Equation,P + ½ρv² + ρgh = const,Conservation law,"Along a streamline in steady, inviscid, incompressible flow, the sum of static pressure, dynamic pressure, and hydrostatic pressure is constant. It explains airplane lift, venturi meters, and why a curveball curves.","Along a streamline in steady, inviscid, incompressible flow, the sum of static pressure, dynamic pressure, and hydrostatic pressure is constant. It explains airplane lift, venturi meters, and why a curveball curves.","Apply the work–energy theorem to a fluid parcel moving along a streamline. Work by pressure forces: dW_P = P₁A₁ds₁ − P₂A₂ds₂. By continuity, A₁ds₁ = A₂ds₂ = dV. Work by gravity: dW_g = −ρg dV (h₂ − h₁). Change in KE: dKE = ½ρ dV(v₂² − v₁²). Setting dW = dKE: P₁ + ½ρv₁² + ρgh₁ = P₂ + ½ρv₂² + ρgh₂.","A venturi meter: pipe diameter narrows from 10 cm to 5 cm. Upstream v₁ = 2 m/s. By continuity: v₂ = v₁(A₁/A₂) = 2(10²/5²) = 8 m/s. Pressure drop (horizontal): ΔP = ½ρ(v₂²−v₁²) = ½(1000)(64−4) = 30,000 Pa = 30 kPa.","Bernoulli's equation fails when: (1) Viscosity matters — in long pipes, frictional losses cause pressure drops not accounted for. Adding a head loss term: P₁/ρg + v₁²/2g + h₁ = P₂/ρg + v₂²/2g + h₂ + h_f. (2) The flow is unsteady (time-dependent), requiring the unsteady Bernoulli equation. (3) The flow is compressible (Ma > 0.3), requiring compressible flow relations.","Bernoulli, Hydrodynamica (1738)",consensus,"(1) Viscosity matters — in long pipes, frictional losses cause pressure drops not accounted for."
EQ-0043,Physics,Fluid Dynamics,Reynolds Number,Re = ρvL/μ,Constitutive relation,"A dimensionless ratio of inertial forces to viscous forces that predicts the flow regime: laminar (Re < ~2300 for pipes), transitional, or turbulent (Re > ~4000). It is the most important parameter in fluid dynamics for scaling and similarity analysis.","A dimensionless ratio of inertial forces to viscous forces that predicts the flow regime: laminar (Re < ~2300 for pipes), transitional, or turbulent (Re > ~4000). It is the most important parameter in fluid dynamics for scaling and similarity analysis.","Non-dimensionalize the Navier–Stokes equations using characteristic scales: length L, velocity U, time L/U, pressure ρU². The momentum equation becomes: Dv*/Dt* = −∇*P* + (1/Re)∇*²v* + (1/Fr²)g*, where Re = ρUL/μ appears naturally as the coefficient of the viscous term. When Re ≫ 1, viscous forces are negligible compared to inertial forces (turbulent regime); when Re ≪ 1, viscosity dominates (creeping/Stokes flow).","Water (ρ = 1000 kg/m³, μ = 10⁻³ Pa·s) flowing at v = 1 m/s through a pipe of diameter D = 0.05 m: Re = (1000)(1)(0.05)/(10⁻³) = 50,000. This is well into the turbulent regime (> 4000). For honey (μ ≈ 5 Pa·s) at the same conditions: Re = (1400)(1)(0.05)/5 = 14 — deep in the laminar regime.","Reynolds number alone is insufficient for: (1) Non-Newtonian fluids (blood, polymers) where μ depends on shear rate — a shear-thinning fluid may be turbulent at one shear rate and laminar at another. (2) Rotating flows, where the Taylor number replaces Re. (3) Flows with significant buoyancy, where the Rayleigh number governs the transition to convective turbulence.","Reynolds, Phil. Trans. R. Soc. (1883)",consensus,See negation section for detailed failure modes
